TopicCount	users
0	1499
1	505
2	281
3	298
4	205
5	158
6	106
7	88
8	113
9	51
10	77
11	36
12	69
13	56
14	47
15	37
16	55
17	38
18	29
19	30
20	49
21	28
22	27
23	30
24	33
25	26
26	20
27	28
28	36
29	19
30	28
31	31
32	26
33	24
34	25
35	24
36	35
37	24
38	27
39	32
40	35
41	18
42	18
43	35
44	37
45	44
46	54
47	121
48	106
49	39
50	37
51	39
52	58
53	55
54	45
55	88
56	73
57	46
58	13
59	15
60	8
61	3
62	3
63	3
64	1
66	2
67	1
75	1
total	3849
