TopicCount,users
1,395
2,201
3,184
4,119
5,99
6,89
7,83
8,98
9,56
10,81
11,38
12,63
13,54
14,40
15,41
16,66
17,37
18,36
19,36
20,52
21,24
22,27
23,22
24,34
25,29
26,25
27,22
28,44
29,29
30,33
31,41
32,27
33,24
34,21
35,30
36,26
37,37
38,39
39,33
40,48
41,22
42,23
43,39
44,76
45,70
46,75
47,203
48,177
49,66
50,16
51,15
52,7
53,4
54,3
55,5
56,7
57,5
58,2
59,2
60,1
62,1
72,1
total,3303
